the_geom,OBJECTID,FIRESTATIONS_ID,ADDRESS,NAME,FACILITY,STATION_NUMBER,TYPE,STATUS,DEPARTMENT,SECONDARY_FACILITY,JURISDICTION,Y_COORDINATE,X_COORDINATE,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,RESOURCES
POINT (-97.701319971822 30.419503694351),144,14,"2410 W Parmer Ln, Austin, TX 78727",FS0028,FIRE STATION,28,10,AFD BUILT,AFD,,AUSTIN,10126119,3126063,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,10/09/2015 01:48:46 PM +0000,"ENG, RES"
POINT (-97.758826881408 30.334651116119),115,1,"5211 Balcones Dr, Austin, TX 78731",FS0019,FIRE STATION,19,10,AFD BUILT,AFD,EMS,AUSTIN,10094844,3108692,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,10/09/2015 11:08:46 AM +0000,QNT
POINT (-97.695664928824 30.094183311724),40,169,"7000 FM 1327, Austin, TX 78747",FS1106,FIRE STATION,1106,0,BUILT,ESD 11,,AUSTIN,,,FD2910,06/11/2024 06:28:56 PM +0000,,,Unknown
POINT (-97.84097455232 30.663369930512),65,162,"22799 Ronald Reagan Blvd, Liberty Hill, TX 78642",LH002,FIRE STATION,LH 2,0,BUILT,LIBERTY HILL,,LIBERTY HILL,,,FD2910,02/26/2024 03:33:52 PM +0000,,,Unknown
POINT (-97.708429482892 30.275159712457),56,127,"1190 Hargrave St, Austin, TX 78702",SRVC 6,Fleet Service Center 6,SRVC 6,13,BUILT,AFD,,AUSTIN,,,FD2910,02/26/2024 01:45:12 PM +0000,,,
POINT (-97.978888310279 30.359161763024),134,60,"1211 Lohmans Crossing Rd, Lakeway, TX 78734",FS0602,FIRE STATION,602,0,BUILT,ESD 6,EMS,LAKEWAY,10102218,3039103,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.605759221661 30.826433459264),81,145,"212 N 5th St, Jarrell, TX 76537",JR001,FIRE STATION,JR 1,0,BUILT,JARRELL,,JARRELL,,,FD2910,02/26/2024 05:00:29 PM +0000,,,Unknown
POINT (-97.805564851297 30.206670742091),2,3,"6601 Menchaca Rd, Austin, TX 78745",FS0020,FIRE STATION,20,10,AFD BUILT,AFD,EMS,AUSTIN,10047972,3095014,FD2396,06/14/2016 04:29:38 PM +0000,,,"ENG, RES"
POINT (-97.68414771105 30.278077820377),22,86,"1201 Webberville Rd, Austin, TX 78721",FS0005,FIRE STATION,5,10,AFD BUILT,AFD,EMS,AUSTIN,10074828,3132740,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.823991450376 30.139344276085),137,78,"665 Farm to Market 1626, Manchaca, TX 78652",FS0501,FIRE STATION,501,0,BUILT,ESD 5,,AUSTIN,10023361,3085278,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,09/04/2015 11:17:47 AM +0000,ENG
POINT (-97.619442284349 30.43888764362),131,72,"203 E 6th St, Austin, TX 78701",FS0201,FIRE STATION,201,0,BUILT,ESD 2,,PFLUGERVILLE,10133787,3151732,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.899324514096 30.522708840432),87,151,"2800 Travisso Pkwy, Leander, TX 78641",LN005,FIRE STATION,LN 5,0,BUILT,LEANDER,,LEANDER,,,FD2910,02/26/2024 05:01:02 PM +0000,,,Unknown
POINT (-97.868830117887 30.396434564521),147,25,"6003 Comanche Trail, Austin, TX 78732",FS0604,FIRE STATION,604,0,BUILT,ESD 6,,AUSTIN,10116522,3073506,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.412234305276 30.568239304867),67,131,"301 W 2nd St, Taylor, TX 76574",APFD01,FIRE STATION,APFD01,0,BUILT,AVERY PICKETT,,TAYLOR,,,FD2910,02/26/2024 04:57:39 PM +0000,,,Unknown
POINT (-97.613111550294 30.34699734593),17,81,"11205 Harris Branch Pkwy, Austin, TX 78754",FS0041,FIRE STATION,41,10,AFD BUILT,AFD,EMS,AUSTIN,10100426,3154544,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
