CalendarYear,Response_Area,Valid_Emergency_Incs,Emergency_Incs_Within_8mins,%Arrivals _Within_8mins,First_in_Unit_AFD,First_in_Unit _ESD,90th_ResponseTime
2022,00-2103,173,138,0.798,173,0,00:08:56.533
2024,00-2103,155,115,0.742,155,0,00:09:31.083
2023,00-2103,139,102,0.734,139,0,00:09:20.225
2022,00-2104,250,210,0.84,250,0,00:08:43.250
2024,00-2104,285,216,0.758,285,0,00:10:00.637
2023,00-2104,251,189,0.753,251,0,00:09:23.000
2022,00-2201,276,210,0.761,276,0,00:10:01.090
2024,00-2201,308,166,0.539,308,0,00:12:12.905
2023,00-2201,275,139,0.505,275,0,00:12:20.600
2022,00-2202,1130,816,0.722,1130,0,00:09:49.790
2023,00-2202,1096,608,0.555,1096,0,00:11:13.508
2024,00-2202,1050,563,0.536,1050,0,00:11:30.085
2022,00-2203,276,182,0.659,276,0,00:12:28.036
2024,00-2203,212,113,0.533,212,0,00:11:33.931
2023,00-2203,208,70,0.337,208,0,00:14:05.535
2022,00-2204,662,541,0.817,661,1,00:09:21.447
2024,00-2204,554,330,0.596,554,0,00:10:37.590
2023,00-2204,503,278,0.553,503,0,00:10:38.868
2022,00-2205,580,427,0.736,580,0,00:09:34.566
2023,00-2205,549,296,0.539,549,0,00:11:10.613
2024,00-2205,747,341,0.456,747,0,00:12:19.540
2022,00-2206,408,278,0.681,408,0,00:10:21.800
2024,00-2206,481,282,0.586,481,0,00:10:49.540
2023,00-2206,344,170,0.494,342,2,00:11:49.960
2022,00-2301,904,689,0.762,904,0,00:09:41.943
2023,00-2301,862,600,0.696,862,0,00:09:44.958
2024,00-2301,888,524,0.59,888,0,00:11:03.157
2022,00-2302,101,86,0.851,101,0,00:08:30.110
2023,00-2302,108,90,0.833,108,0,00:08:48.265
2024,00-2302,85,68,0.8,85,0,00:08:54.606
2024,00-2303,416,306,0.736,416,0,00:09:58.030
2023,00-2303,436,313,0.718,436,0,00:10:43.605
2022,00-2303,369,261,0.707,369,0,00:10:02.820
2022,00-2304,677,465,0.687,677,0,00:10:31.560
2023,00-2304,687,455,0.662,687,0,00:10:17.633
2024,00-2304,693,450,0.649,693,0,00:10:42.394
2022,00-2305,579,353,0.61,579,0,00:11:10.100
2023,00-2305,576,274,0.476,576,0,00:12:18.737
2024,00-2305,489,219,0.448,489,0,00:11:57.090
2022,00-2306,571,428,0.75,571,0,00:09:37.312
2023,00-2306,526,337,0.641,526,0,00:11:30.289
2024,00-2306,525,334,0.636,525,0,00:10:58.500
2024,00-2401,401,325,0.81,387,14,00:09:39.928
2023,00-2401,381,300,0.787,381,0,00:09:53.989
2022,00-2401,376,278,0.739,376,0,00:09:45.570
2022,00-2402,808,512,0.634,807,1,00:10:39.200
2023,00-2402,738,457,0.619,735,3,00:10:39.400
2024,00-2402,657,390,0.594,651,6,00:11:04.261
2024,00-2403,835,522,0.625,806,29,00:10:47.283
2022,00-2403,779,484,0.621,777,2,00:10:51.901
2023,00-2403,708,416,0.588,704,4,00:11:05.567
2024,00-2404,222,143,0.644,99,123,00:10:10.655
2022,00-2404,341,137,0.402,303,38,00:11:32.366
2023,00-2404,204,76,0.373,166,38,00:11:01.323
2022,00-2405,40,20,0.5,39,1,00:11:18.343
2023,00-2405,38,10,0.263,34,4,00:11:42.245
2022,00-2406,57,7,0.123,49,8,00:12:32.751
2023,00-2406,216,23,0.106,201,15,00:12:12.557
2022,00-2501,660,369,0.559,659,1,00:11:29.300
2024,00-2501,535,298,0.557,534,1,00:11:12.369
2023,00-2501,619,343,0.554,619,0,00:11:20.429
2022,00-2502,350,177,0.506,350,0,00:10:41.399
2024,00-2502,339,148,0.437,339,0,00:12:24.764
2023,00-2502,275,102,0.371,275,0,00:11:47.290
2022,00-2503,130,85,0.654,130,0,00:09:35.772
2024,00-2503,116,63,0.543,116,0,00:11:35.270
2023,00-2503,103,51,0.495,103,0,00:11:05.470
2022,00-2504,187,85,0.455,186,1,00:11:33.234
2024,00-2504,160,47,0.294,160,0,00:12:08.587
2023,00-2504,140,39,0.279,140,0,00:11:33.575
2022,00-2601,363,282,0.777,361,2,00:10:21.184
2024,00-2601,292,206,0.705,290,2,00:11:45.903
2023,00-2601,277,179,0.646,275,2,00:11:50.590
2022,00-2602,1,0,0,1,0,00:08:01.433
2023,00-2604,49,32,0.653,49,0,00:10:50.418
2024,00-2604,53,33,0.623,53,0,00:12:04.001
2022,00-2604,68,39,0.574,68,0,00:10:04.789
2022,00-2605,74,54,0.73,74,0,00:09:12.441
2024,00-2605,98,67,0.684,98,0,00:10:18.200
2023,00-2605,78,51,0.654,78,0,00:09:49.314
2023,00-2606,257,172,0.669,257,0,00:11:00.993
2022,00-2606,328,213,0.649,328,0,00:11:30.380
2024,00-2606,237,152,0.641,237,0,00:11:01.788
2022,00-2607,154,97,0.63,154,0,00:09:51.900
2024,00-2607,161,92,0.571,161,0,00:11:43.170
2023,00-2607,168,88,0.524,168,0,00:11:01.063
2022,00-2608,285,163,0.572,285,0,00:10:08.491
2024,00-2608,279,150,0.538,279,0,00:11:42.651
2023,00-2608,289,155,0.536,289,0,00:11:00.228
2022,00-2609,1,0,0,1,0,00:08:15.000
2023,00-2610,22,18,0.818,22,0,00:08:48.053
2022,00-2610,25,20,0.8,25,0,00:08:50.749
2024,00-2610,16,12,0.75,16,0,00:08:47.184
2022,00-2701,105,90,0.857,105,0,00:08:59.733
2023,00-2701,104,80,0.769,104,0,00:09:28.315
2024,00-2701,131,98,0.748,131,0,00:10:33.300
